NATHAN BENNETT,20216952,CS,3.020735449614497,3609c7cc-e8b7-445c-a5d6-1355b952e662,5487d7e0-d688-4ec6-9663-6902eb1f08a1,7e27212e-10d3-408b-9792-3c98e4e9d49e,f253480e-9755-46d4-81e2-2cf729640b7e,7b64086b-f2c7-48ab-8cb3-36eaf8e935d6,08d87bfb-e1fa-4ae3-aa54-d1802db06c72,ee1ac835-8c55-41a0-b4c8-0259de35a865,a93550f2-96a1-4850-a9c2-21875f1f0b84,a1fb9f62-2255-4716-ab8b-b418eb3bdc9f,3ee5eb1f-2978-4816-a813-30f62143f8e8
SHAWN EVANS,20216953,DS,2.7686682761090755,5c55afbf-bdd7-40de-93fa-4973dd170be7,27ac40e5-edb8-424c-bad4-0f0e031a38af,2a9d7a6f-a9bd-4e90-a141-b759549d1716,a4c8b59d-a92d-4fb9-91b0-1f814e70f7b8,7e27212e-10d3-408b-9792-3c98e4e9d49e,0a6b979a-aacd-401e-9567-c2c53750fb15,b832ad7f-13ce-462f-802a-1708f80afb8e,72b80d32-95a1-41d2-ad5f-f24d714e44c5,90d200b8-7b90-4a28-9729-ca6422a84a20,628d2304-0154-43c7-b4c3-6f35064f5d18
WENDY TURNER,20216954,DS,3.153669687174488,0493c781-4edd-4945-9acf-c889093e89ab,9503c6db-c2bd-41e1-8d51-ac3d379048cc,029aee86-cbc0-447b-802a-9d04a02edf46,3f6ae2e1-376d-4245-b532-6bd35c9426ea,96379a5e-679d-4d85-b86d-c1f2e29b8e5a,b35e2768-89c9-43fb-bb7b-5fb5a079050b,ce598b7e-5f59-4114-bdb5-9abbcd753222,663fcb2e-71a1-4424-9395-70553e800749,e9af7cb4-3c54-4a95-8290-177fda9eb66f,bdcf4497-2cb9-4d44-8317-d26d5a27de6a
STEPHEN BELL,20216955,DS,2.3445336238562806,966df017-dcd9-4b52-9281-3cd3567c942f,4b9b6af9-ed11-4549-9a33-67a4c8aceb33,98c9b1c0-6354-4158-9a0a-a4eaebae71d0,7e27212e-10d3-408b-9792-3c98e4e9d49e,c1f2c18f-0b8c-4667-9531-20535650b845,d284e47d-83aa-451f-a9f7-1adf693caceb,4b6b082b-c137-419b-8285-cee3c9950bac,7897cb99-ebab-44f9-a192-b0d0ac52a964,6cad2f4f-403f-460e-9f36-95c5fa6b6d0d,122b0b4a-5d64-4491-ab6c-4a49aaa38bbc
ANNIE REED,20216956,CS,3.049191525039493,f6db8869-d15a-4c38-9ae4-7b564623ee15,8066a6b5-c49d-4857-a092-bade01ae2bdf,e407d764-e769-4ca5-a288-0f4b4b5a6eba,8c8d3cfe-92a8-49dc-8556-662f32fca150,0a6b979a-aacd-401e-9567-c2c53750fb15,2ff0ae2b-15bd-4a31-93fc-f23993864d48,b216e7a7-291f-4cc8-b22d-4c10c6916ae1,707e7ba5-ed66-400e-b894-4bb434662f81,d18d56c1-0181-42fa-a2b8-93e0bcb2009b,5eab6c93-6c89-4fcc-9176-86942709abfc
JACQUELINE STEWART,20216957,DS,2.069516779825177,d1e70a88-c45f-4f0d-a5e7-821773f48359,71d8a2da-5e7b-4b6f-9b1c-ddb2e4260606,eff37b36-3cd4-430d-b37f-706be3fa0736,96d2dcbc-70a1-48ac-8fd4-4d86e9d274e4,6a250dea-4139-4737-95da-301f86fb2fb8,2e5a8e5e-1cc8-4415-8f07-e6efac810432,d99f467d-0985-4b77-ba38-408ebb883c48,2438a2ef-ea64-458c-b25b-ac51fd0dfcee,9e77b0cc-dc2e-4c8a-bf35-bf6e532ae2d6,620632d9-e1b8-491d-9999-18472d0600b2
AARON PARKER,20216958,DS,3.722523490991285,966df017-dcd9-4b52-9281-3cd3567c942f,ae265a2e-f043-4b85-8280-1e3f80b2bebf,87224ef9-b27c-4c0a-a663-05dfc7807cee,61beb3dd-86f2-45d3-9c7d-f64c9d8b7599,18d7d441-da2c-4191-9af7-581315dbba1b,1bf930c6-0ecc-4b36-9e3a-ebb8656ab20b,c6b90a4c-b68f-48d6-8b7e-1f8adb86859c,3b484e73-5b88-4b1a-8f5a-888963abeebf,8d479d3f-2487-4792-bc54-21e9d35f00d5,8e4e5bf2-ff5f-4329-9f77-bdd824426b02
PATRICIA GONZALES,20216959,DS,3.234672881737006,17e85bba-5660-45cd-91ba-ece8935ef4c8,b076b7da-56dd-47ef-ba81-9854f7ff8081,2e5a8e5e-1cc8-4415-8f07-e6efac810432,a7c0d617-1652-4395-a601-9dc61d475df0,c8d14bee-a8d7-4441-9769-151a5c3b7506,2b921b8d-0ec8-4abc-a458-93776c1a8825,7e27212e-10d3-408b-9792-3c98e4e9d49e,9503c6db-c2bd-41e1-8d51-ac3d379048cc,ce598b7e-5f59-4114-bdb5-9abbcd753222,fe870adb-5ed7-4845-aee4-eff3335559d1
MARY WRIGHT,20216960,CS,3.4670454716561565,81d28c8d-9551-4834-b612-8c7c6fdc2a3d,8d479d3f-2487-4792-bc54-21e9d35f00d5,663fcb2e-71a1-4424-9395-70553e800749,c51bfdb2-36c3-4473-87e2-edd93a9edd26,c02806a3-1dc5-4674-9cb7-01ff36f38015,389e5cf5-c6ea-41a4-b533-9f69b3919e12,7361b236-b909-4c6e-af30-9c3844074ff4,ee871411-c8e0-4fd8-88e0-0bd148141d7f,bdcf4497-2cb9-4d44-8317-d26d5a27de6a,3fc8bb76-d781-4f31-9f79-4d1d4e678aad
CHRISTINA MARTINEZ,20216961,CS,3.6182861657088163,48069287-a864-4870-95e3-037df889eafd,96ee739f-f3de-46f9-898f-8fd67bb68f19,83785ed8-a0df-42e3-9d6c-3e83b24ae913,45a5cabd-2259-4167-b671-8aec23af2cd4,82be3dfa-5b93-4ced-b3ae-1f2563bf2202,30cdb5aa-8319-4e6b-ad77-06aefffeab7b,0d5768d3-a257-4a55-b439-fa82de660875,61beb3dd-86f2-45d3-9c7d-f64c9d8b7599,d7c89ed2-4717-4b62-ba35-cdfb06cc3b03,616d01be-ebac-4405-bcde-7f6ccf5c0c01
NICOLE YOUNG,20216962,DS,3.3138567191656447,749a369f-2554-48a2-9606-18869a9c1809,9d1496d5-56e4-4833-9db2-932085911bee,e6b96bc7-b158-4318-b462-f962accdecf4,f1492c5e-1cb4-47dd-9d63-0499f00ac1bd,0282fdb7-08e1-4af2-b0bd-029990aaefd4,c51bfdb2-36c3-4473-87e2-edd93a9edd26,5c55afbf-bdd7-40de-93fa-4973dd170be7,891aa1af-decf-4b3e-853f-2f704ce800b6,3b97a41b-3859-4cb9-a764-8df3ada6eb4d,08245ffc-aeaf-4c40-a17e-9dbfc51b9474
